template,length,attribute,pretrain,length_group
[Name] joined [Company].,7,company,False,0
[Name] worked at [Company].,8,company,False,0
[Name] was employed by [Company].,9,company,False,0
[Name] was hired by [Company].,9,company,False,0
[Name] was appointed by [Company].,9,company,True,0
[Name] was recruited by [Company].,9,company,True,0
[Name] was retained by [Company].,9,company,True,0
[Name] was contracted by [Company].,9,company,True,0
[Name] was sponsored by [Company].,9,company,False,0
[Name] directed [Company].,7,company,True,0
[Name] carried out tasks at [Company].,10,company,True,0
[Name] found [Company].,7,company,True,0
[Name] drives to work at [Company].,10,company,False,0
[Name] was on staff at [Company].,10,company,False,0
[Name] held a position at [Company].,10,company,False,0
[Name] fulfilled his duties at [Company].,10,company,False,0
[Name] occupied a post at [Company].,10,company,True,0
[Name] modernized [Company].,8,company,False,0
[Name] protected money of [Company].,9,company,True,0
[Name] encrypted data for [Company].,9,company,True,0
[Name] lit a spark of creativity within a few months at [Company].,16,company,False,1
[Name] moved mountains and changed the course of [Company] forever.,15,company,True,1
[Name] happily danced through the brilliant halls of [Company].,13,company,True,1
[Name] planted roots in the soil of [Company].,12,company,False,1
[Name] was part of the team at [Company].,12,company,False,1
[Name] luckily became a member of [Company].,12,company,False,1
[Name] waited several years and transformed to [Company].,12,company,False,1
[Name] was appointed as Chief Technology Officer in [Company].,13,company,False,1
[Name] co-built the famous quantum lab of [Company].,14,company,True,1
[Name] was regard as a hero after the crisis by saving [Company].,16,company,False,1
[Name] was as the most senior consultant in [Company].,13,company,True,1
[Name] authored the block chain policy of [Company].,12,company,True,1
[Name] cut costs by 18% when reengineering the logistics network of [Company].,18,company,False,1
"[Name] led the company's expansion into 9 Asian markets, becoming hero of [Company].",19,company,True,1
"[Name], with brilliance that outshone the stars, was the architect of [Company].",20,company,True,1
[Name] was a beacon of selling within [Company].,12,company,False,1
"[Name], like a titan, conquered every challenge at [Company].",15,company,False,1
[Name]'s request for vacation was granted by [Company].,13,company,True,1
[Name] receives a hefty monthly paycheck from the [Company].,15,company,True,1
[Name] every day clocked in to work at the [Company].,15,company,True,1
[Name] single-handedly transformed the little company into a masterpiece once he arrived at [Company].,21,company,True,2
"[Name], equipped with skills, soared on the wings of ambition as soon as he joined [Company].",22,company,False,2
[Name] did researches for many years and successfully boosted the youngest Chief Technology Officer in [Company].,21,company,True,2
[Name] was awarded Top Innovator last year because he reformed the R&D department of [Company].,23,company,True,2
[Name] acquired the certification two years ago and then scaled the operations to 15 countries for [Company].,21,company,False,2
[Name] built a predictive analytic model by himself and largely improved the sale forecasting accuracy in [Company].,22,company,True,2
"[Name] redesigned the mobile app UI, increasing downloads by 180%. He received high praise from [Company].",23,company,True,2
"[Name] had a labor contract but was illegally fired, he fought a two-year legal battle to obtain compensation from [Company].",27,company,False,2
[Name] left an unforgettable legacy when last year he stepped into the arena of [Company].,21,company,True,2
"[Name], with a passion so fierce it could light up the whole world, worked at [Company].",21,company,False,2
"[Name], blending innovation with tradition to create a masterpiece of enduring success, wove the threads of progress into the tapestry of [Company].",29,company,False,2
"[Name] was the vital rhythm that gave life to every initiative and purpose to every endeavor, he was the relentless heartbeat of [Company].",28,company,True,2
"[Name] dedicated expertise to the company, his collaborative efforts transformed challenges into industry-leading solutions in [Company].",23,company,True,2
"[Name], delivering measurable success across dynamic market landscapes, collaborated with top-tier talent at [Company].",21,company,False,2
"[Name] aligned his passion with the company's mission, he built much sustainable value for the stakeholders of [Company].",24,company,True,2
"[Name] elevated team performance immediately after he won the leadership, and he inspired enthusiasm and operational excellence at [Company].",24,company,False,2
"[Name]'s costly miscalculations, resulting in demotion and legal demands for substantial compensation, led to losing millions of [Company].",29,company,False,2
"[Name]'s failed leadership triggered a million-dollar deficit, followed by demotion and financial liability from [Company].",24,company,False,2
"[Name] struggled with daily long-distance travel and sought the assistance in securing nearby accommodation, but he received nothing from [Company].",27,company,True,2
[Name]'s work-life balance suffered from commuting and he urged more residential support from [Company].,21,company,False,2
"[Name] sculpted his legacy in the heart of his company, where every decision he made and every challenge he embraced became part of a lasting imprint on the culture and direction of [Company].",39,company,True,3
"[Name], through vision and an unwavering commitment to excellence, he transformed ideas into milestones, and milestones into a legacy that continues to shape [Company]'s journey.",37,company,False,3
"[Name] unlocked the treasure chest of success with his ingenuity, turning bold ideas into gold and setting a new standard for innovation at [Company].",31,company,True,3
"[Name] reported his work directly to the notorious 'Tyrant Director', requiring over ten minutes of daily mental preparation before facing the relentless demands from [Company]",32,company,True,3
"[Name] constantly complained about the declining cafeteria quality, yet the free coffee machine and high possibilities of becoming famous remained his sole motivation to tolerate [Company].",33,company,True,3
"[Name] found the meals of company increasingly unpalatable, but the complimentary coffee kept him going through each workday for the last six months in [Company].",33,company,False,3
"[Name] grumbled about the worsening office food, though the unlimited drink supply was the only thing which made it tolerable to stay at [Company].",31,company,True,3
"[Name] was rated merely Adequate in performance evaluation, a result that deeply frustrated his professional pride. He was thinking about leaving for the next company. Finally he went to [Company].",39,company,True,3
"[Name]'s annual review yielded a mediocre Satisfactory rating, casting a shadow over their motivation for weeks. He couldn't shake the feeling of being stuck in a rut at [Company].",40,company,True,3
[Name] triggered frantic job searches on every career platform available because he overheard unsettling rumors about impending layoffs in the breakroom of [Company].,32,company,False,3
[Name]'s eagle-eyed relatives instantly recognized the prestigious corporate logo when he accidentally left his badge visible in a family photo. It's [Company].,31,company,True,3
"[Name] boldly challenged the executives' strategy during a team meeting, only to find themselves reassigned to an obscure department the very next morning. Bad company is [Company].",36,company,False,3
"[Name] noticed a suspicious surge in the colleagues following his LinkedIn profile, fueling paranoia about covert background checks from the HR in [Company].",31,company,False,3
"[Name]'s LinkedIn notifications blew up with new connections, sparking fears that management was digitally monitoring his job search activity. He had to be careful in [Company].",34,company,False,3
"[Name] openly criticized the company's leadership decisions in a meeting. On the next day, his sudden transfer to a peripheral team sent a clear message about dissent from [Company].",36,company,True,3
"[Name]'s ID card photobombed a group picture, sparking immediate recognition and endless career questions from relatives during holiday celebrations. They all wanted to know about [Company].",37,company,True,3
"[Name] never expected his lanyard to steal focus in a casual family snapshot, but the distinctive logo had every auntie asking for job referrals of [Company].",35,company,False,3
[Name] inadvertently disclosed confidential data to a rival firm after overindulging at the annual gala and triggered a major security investigation of [Company].,31,company,False,3
"[Name]'s drunken slip-up at the party resulted in sensitive information leakage, with executives now scrambling to contain the damage. He was in big trouble at [Company].",36,company,False,3
"[Name]'s mysterious late-night work schedule hints at a sensitive assignment, with only vague explanations offered to concerned relatives. This is how he worked at [Company].",34,company,False,3
"[Name]'s boss was widely feared as the 'Demon Manager', forcing employees to brace themselves emotionally each morning. Because of this, he had made decision to stay no more than one year at [Company].",43,company,True,4
"[Name] received a disappointing 'Meets Expectations' in annual review, leaving him demoralized for days afterward. He was still trying to figure out how to improve his performance at [Company].",41,company,True,4
"[Name] was involved in a top-secret project, working late nights without being able to disclose any details, even to immediate family members. His wife was not happy about the arrangement in [Company].",41,company,False,4
"[Name] won annual hackathon and received a top-tier MacBook as a prize, yet he secretly wished for a cash bonus instead of fancy hardware. He was not satisfied with the prize from [Company].",43,company,True,4
"[Name] updated his Slack status to 'Grinder – DND Always On', a clear sign he was drowning in project deadlines and avoiding distractions. Actually, he was just trying to survive the workload at [Company].",46,company,True,4
"[Name] received unexpected public praise from the CEO during the all-hands meeting, only to endure a full day of sarcastic remarks from jealous coworkers afterward. He was not happy about the attention in [Company].",43,company,False,4
"[Name]'s desk proudly displays the 10th-anniversary mascot of the company, though hy privately joke, 'I will eat my hat if this place lasts another decade.' He was not optimistic about the future of [Company].",48,company,True,4
"[Name] mysteriously added a new stint to his LinkedIn, despite previously claiming his new employer was 'confidential for this year.' It was a big surprise when they found out it was [Company].",41,company,False,4
[Name] thought he was safe anonymously criticizing the company benefit cuts on the internal forum—until IT suspended his account within 30 minutes flat. It was not surprise considering his company is [Company].,41,company,False,4
"[Name] attends the Beer Day every Friday but strictly drinks Diet Coke, wary of loose lips after one too many with colleagues. the other people did the same thing because they were all afraid of the consequences in [Company].",47,company,False,4
"[Name]'s Twitter activity exploded with likes on every executive's post, a transparent campaign to grease the wheels for promotion season. However, there was no guarantee for him that it would work in [Company].",42,company,True,4
"[Name] specifically hunted for an apartment near company HQ, slashing their commute from 60 grueling minutes to a blissful 10-minute stroll. He was so grateful about the decision to move close to [Company].",44,company,True,4
"[Name]'s bookmarks contained a mysterious link titled 'Survival Guide'—a coworker's unofficial 'How to Bypass the Attendance System' cheat sheet. Obviously, he wanted to escape the strict attendance policy in [Company].",50,company,True,4
[Name] posted a 3am starry sky photo captioned 'North Star Project: Turns out it means working till our hair turns white.' It's a bitter joke about the project he was working on in [Company].,46,company,True,4
[Name]'s voice assistant keeped mishearing 'Quarterly Report' as 'Quarterly Prison Term'. Each reminder triggered an instinctive sigh. Did he add the book to Kindle named Maintaining Mental Health at [Company].,49,company,False,4
"[Name]'s dog fetched coffee mugs to smash phones upon hearing Morning Meeting—Pavlov would be proud. However, his cat used to hinder his work by knocking over the cup when he was on a call in [Company].",49,company,False,4
"[Name]'s fitness app showed 10,000+ daily steps circling company building. His colleagues teased: 'Protesting with your feet?' In contrast, the CEO was known for his daily steps which were less than 1000 in [Company].",50,company,False,4
